Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week
2016,2016-11-05 16:30:00,BAT,121,BOW,340,0,7.0,0.0,0.0,0.0,,7,0.0,3.0,0.0,21.0,,24,-17,2016-11-05,11.0
2016,2016-11-05 16:30:00,AMH,7,TRI,2977,0,0.0,3.0,7.0,14.0,,24,0.0,7.0,7.0,0.0,,14,10,2016-11-05,11.0
2016,2016-11-05 17:00:00,IOW,2295,CRO,509,0,0.0,7.0,6.0,0.0,,13,0.0,13.0,0.0,6.0,,19,-6,2016-11-05,11.0
2016,2016-11-05 17:00:00,WAY,2845,STV,2614,0,10.0,6.0,7.0,7.0,,30,3.0,0.0,3.0,6.0,,12,18,2016-11-05,11.0
2016,2016-11-05 17:00:00,LEB,388,FDU,2221,0,6.0,0.0,7.0,7.0,,20,14.0,13.0,7.0,0.0,,34,-14,2016-11-05,11.0
2016,2016-11-05 17:00:00,KEA,2871,ROW,2827,0,0.0,3.0,0.0,7.0,,10,0.0,21.0,3.0,0.0,,24,-14,2016-11-05,11.0
2016,2016-11-05 17:00:00,ALM,2800,TRI,2651,0,7.0,16.0,0.0,10.0,,33,0.0,13.0,7.0,21.0,,41,-8,2016-11-05,11.0
2016,2016-11-05 17:00:00,CATH,2108,EMO,2213,0,7.0,14.0,10.0,7.0,,38,7.0,7.0,6.0,7.0,,27,11,2016-11-05,11.0
2016,2016-11-05 17:00:00,COLG,2142,FOR,2230,0,3.0,7.0,7.0,7.0,,24,7.0,7.0,6.0,0.0,,20,4,2016-11-05,11.0
2016,2016-11-05 17:00:00,DRKE,2181,JAC,294,0,10.0,3.0,0.0,14.0,,27,0.0,7.0,10.0,14.0,,31,-4,2016-11-05,11.0
2016,2016-11-05 17:00:00,OHI,2980,ALL,2018,0,0.0,0.0,0.0,0.0,,0,14.0,0.0,10.0,0.0,,24,-24,2016-11-05,11.0
2016,2016-11-05 17:00:00,THO,2646,THI,2644,0,0.0,16.0,0.0,0.0,,16,14.0,21.0,7.0,21.0,,63,-47,2016-11-05,11.0
2016,2016-11-05 17:00:00,WMN,433,MIN,2399,0,10.0,14.0,17.0,0.0,,41,0.0,14.0,0.0,14.0,,28,13,2016-11-05,11.0
2016,2016-11-05 17:00:00,LIN,2876,WJC,2911,0,7.0,10.0,24.0,7.0,,48,7.0,10.0,0.0,0.0,,17,31,2016-11-05,11.0
2016,2016-11-05 17:00:00,KEN,352,WIT,2746,0,10.0,28.0,17.0,9.0,,64,10.0,0.0,7.0,0.0,,17,47,2016-11-05,11.0
2016,2016-11-05 17:00:00,UWL,2688,BRD,2079,0,3.0,3.0,14.0,10.0,,30,3.0,3.0,7.0,7.0,,20,10,2016-11-05,11.0
2016,2016-11-05 17:00:00,VIR,330,VIR,2676,0,0.0,14.0,7.0,0.0,,21,6.0,29.0,7.0,6.0,,48,-27,2016-11-05,11.0
2016,2016-11-05 17:00:00,OLI,354,ADR,2003,0,13.0,0.0,13.0,11.0,,37,9.0,21.0,0.0,14.0,,44,-7,2016-11-05,11.0
2016,2016-11-05 17:00:00,ELI,2207,BOW,2075,0,21.0,14.0,14.0,7.0,,56,0.0,7.0,0.0,0.0,,7,49,2016-11-05,11.0
2016,2016-11-05 17:00:00,SWB,2586,CCI,2119,0,7.0,6.0,7.0,14.0,,34,27.0,7.0,6.0,14.0,,54,-20,2016-11-05,11.0
2016,2016-11-05 17:00:00,CAR,2102,CHI,80,0,7.0,10.0,7.0,0.0,,24,0.0,7.0,7.0,23.0,,37,-13,2016-11-05,11.0
2016,2016-11-05 17:00:00,CNEW,2105,NGR,2822,0,3.0,14.0,0.0,17.0,,34,0.0,10.0,0.0,14.0,,24,10,2016-11-05,11.0
2016,2016-11-05 17:00:00,DEP,83,OBE,391,0,7.0,10.0,0.0,0.0,,17,23.0,10.0,14.0,3.0,,50,-33,2016-11-05,11.0
2016,2016-11-05 17:00:00,CNJ,2442,SVA,2896,0,0.0,0.0,7.0,7.0,3.0,25,0.0,7.0,7.0,0.0,3.0,28,-3,2016-11-05,11.0
2016,2016-11-05 17:00:00,CON,2148,WES,2707,0,14.0,10.0,21.0,7.0,,52,10.0,14.0,14.0,7.0,,45,7,2016-11-05,11.0
2016,2016-11-05 17:00:00,GET,2248,DIC,2175,0,7.0,3.0,0.0,17.0,7.0,37,3.0,21.0,0.0,3.0,7.0,34,3,2016-11-05,11.0
2016,2016-11-05 17:00:00,WIS,2741,KAL,126,0,0.0,7.0,0.0,0.0,,7,6.0,16.0,7.0,0.0,,29,-22,2016-11-05,11.0
2016,2016-11-05 17:00:00,MURR,93,EKY,2198,0,8.0,10.0,2.0,8.0,,28,0.0,7.0,21.0,13.0,,41,-13,2016-11-05,11.0
2016,2016-11-05 17:00:00,WAL,2682,ASH,308,0,14.0,21.0,14.0,7.0,,56,0.0,0.0,0.0,0.0,,0,56,2016-11-05,11.0
2016,2016-11-05 17:00:00,GRN,2256,MTH,291,0,14.0,7.0,3.0,14.0,,38,0.0,0.0,0.0,6.0,,6,32,2016-11-05,11.0
2016,2016-11-05 17:00:00,HOB,174,STL,2779,0,3.0,7.0,8.0,0.0,,18,0.0,20.0,0.0,14.0,,34,-16,2016-11-05,11.0
2016,2016-11-05 17:00:00,LIU,2089,MER,2771,0,0.0,0.0,0.0,7.0,,7,14.0,17.0,13.0,20.0,,64,-57,2016-11-05,11.0
2016,2016-11-05 17:00:00,ALF,365,UTI,390,0,7.0,7.0,0.0,7.0,,21,7.0,14.0,7.0,7.0,,35,-14,2016-11-05,11.0
2016,2016-11-05 17:00:00,TRU,2654,STJ,2601,0,0.0,3.0,0.0,0.0,,3,3.0,7.0,7.0,6.0,,23,-20,2016-11-05,11.0
2016,2016-11-05 17:00:00,VALP,2674,DAY,2168,0,14.0,10.0,13.0,0.0,,37,7.0,0.0,0.0,14.0,,21,16,2016-11-05,11.0
2016,2016-11-05 17:00:00,LAG,548,UNCW,286,0,7.0,14.0,14.0,14.0,,49,7.0,16.0,0.0,0.0,,23,26,2016-11-05,11.0
2016,2016-11-05 17:00:00,DEL,48,ALBY,399,0,10.0,7.0,0.0,0.0,,17,0.0,14.0,14.0,5.0,,33,-16,2016-11-05,11.0
2016,2016-11-05 17:00:00,MORE,2413,BUT,2086,0,0.0,7.0,7.0,14.0,,28,10.0,24.0,10.0,10.0,,54,-26,2016-11-05,11.0
2016,2016-11-05 17:00:00,WES,336,WIL,2731,0,7.0,7.0,0.0,0.0,,14,28.0,28.0,0.0,3.0,,59,-45,2016-11-05,11.0
2016,2016-11-05 17:00:00,HEND,418,WAS,143,0,0.0,21.0,14.0,14.0,,49,0.0,17.0,7.0,22.0,,46,3,2016-11-05,11.0
2016,2016-11-05 17:00:00,UNI,2460,INST,282,0,0.0,3.0,3.0,0.0,,6,13.0,14.0,6.0,6.0,,39,-33,2016-11-05,11.0
2016,2016-11-05 17:00:00,TIF,2838,LKE,437,0,0.0,7.0,7.0,7.0,,21,21.0,3.0,14.0,7.0,,45,-24,2016-11-05,11.0
2016,2016-11-05 17:00:00,GEN,2242,WAS,2686,0,7.0,10.0,0.0,0.0,,17,0.0,7.0,0.0,0.0,,7,10,2016-11-05,11.0
2016,2016-11-05 17:00:00,CUR,40,MIT,109,0,0.0,0.0,14.0,12.0,,26,7.0,0.0,0.0,14.0,,21,5,2016-11-05,11.0
2016,2016-11-05 17:00:00,MID,2394,HAM,348,0,0.0,3.0,0.0,7.0,,10,10.0,7.0,21.0,7.0,,45,-35,2016-11-05,11.0
2016,2016-11-05 17:00:00,MAS,110,PLY,2972,0,7.0,7.0,14.0,0.0,,28,0.0,0.0,0.0,7.0,,7,21,2016-11-05,11.0
2016,2016-11-05 17:00:00,LEN,2331,BRE,2913,0,7.0,7.0,0.0,0.0,,14,0.0,0.0,0.0,21.0,,21,-7,2016-11-05,11.0
2016,2016-11-05 17:00:00,AUG,2043,CON,3066,0,3.0,7.0,14.0,7.0,,31,21.0,7.0,21.0,14.0,,63,-32,2016-11-05,11.0
2016,2016-11-05 17:00:00,LVI,2940,JOH,2304,0,0.0,8.0,16.0,6.0,,30,0.0,8.0,0.0,0.0,,8,22,2016-11-05,11.0
2016,2016-11-05 17:00:00,CHR,3112,WMP,2970,0,7.0,0.0,0.0,0.0,,7,7.0,12.0,0.0,7.0,,26,-19,2016-11-05,11.0
2016,2016-11-05 17:00:00,AIC,2022,ASP,2038,0,7.0,10.0,7.0,7.0,,31,3.0,0.0,0.0,0.0,,3,28,2016-11-05,11.0
2016,2016-11-05 17:00:00,CLK,2805,KENN,338,0,14.0,14.0,14.0,14.0,,56,0.0,0.0,0.0,0.0,,0,56,2016-11-05,11.0
2016,2016-11-05 17:00:00,ASC,3162,MAR,421,0,0.0,0.0,0.0,7.0,,7,7.0,7.0,0.0,7.0,,21,-14,2016-11-05,11.0
2016,2016-11-05 17:00:00,NWM,583,EUR,101,0,0.0,7.0,0.0,8.0,,15,7.0,3.0,7.0,20.0,,37,-22,2016-11-05,11.0
2016,2016-11-05 17:00:00,FIT,114,MAS,379,0,0.0,6.0,8.0,0.0,,14,7.0,3.0,6.0,6.0,,22,-8,2016-11-05,11.0
2016,2016-11-05 17:00:00,GAL,417,ANN,15,0,0.0,14.0,7.0,6.0,,27,7.0,0.0,0.0,6.0,,13,14,2016-11-05,11.0
2016,2016-11-05 17:00:00,MIC,2392,NOR,128,0,7.0,21.0,10.0,7.0,0.0,45,2.0,14.0,15.0,14.0,0.0,51,-6,2016-11-05,11.0
2016,2016-11-05 17:00:00,EDI,2205,CAL,2858,0,7.0,14.0,14.0,17.0,,52,0.0,7.0,0.0,0.0,,7,45,2016-11-05,11.0
2016,2016-11-05 17:00:00,WIL,398,STU,471,0,14.0,0.0,7.0,14.0,,35,7.0,7.0,10.0,14.0,,38,-3,2016-11-05,11.0
2016,2016-11-05 17:00:00,GRE,2257,SS,375,0,7.0,28.0,14.0,0.0,,49,0.0,0.0,7.0,14.0,,21,28,2016-11-05,11.0
