Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
2013,2013-09-07 23:00:00,EIU,2197,SIU,79,0,3,14,6,7,7,37,14,7,0,9,7,40,-3,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,TUS,2657,AAMU,2010,0,0,0,7,0,,7,14,3,0,6,,23,-16,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,SIO,2894,MNDU,134,0,10,9,13,0,,32,0,0,7,0,,7,25,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,TEX,2639,SW,2588,0,0,0,7,7,,14,3,14,13,14,,44,-30,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,ALB,2013,NGR,2822,0,3,6,14,3,,26,0,6,0,18,,24,2,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,WAS,2686,WOO,2748,0,7,7,7,0,,21,28,14,9,7,,58,-37,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,SHSU,2534,TA&M,245,0,14,16,35,0,,65,7,7,14,0,,28,37,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,NICH,2447,WMU,2711,0,0,9,14,0,,23,14,7,0,6,,27,-4,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,PVAM,2504,TXST,326,0,14,7,7,0,,28,0,0,3,0,,3,25,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,EAR,2189,DEN,2171,0,21,10,7,13,,51,6,0,8,14,,28,23,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,ROC,2524,WIS,2743,0,14,14,14,7,,49,0,7,0,13,,20,29,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,GAL,417,SHE,2828,0,7,7,0,6,,20,14,7,7,3,,31,-11,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,CHI,80,BEL,266,0,0,0,0,0,,0,3,7,7,0,,17,-17,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,SAV,2542,TROY,2653,0,17,7,28,14,,66,0,3,0,0,,3,63,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,STN,200,HEN,2271,0,21,28,17,16,,82,7,0,0,3,,10,72,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,CON,2148,LEN,2331,0,0,0,3,7,,10,0,11,7,0,,18,-8,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,GRAM,2755,ULM,2433,0,21,14,7,6,,48,7,0,0,3,,10,38,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,WMN,2849,HIR,2274,0,7,9,0,7,,23,0,0,6,13,,19,4,2013-09-07,2,0,0,0,0
