id,abbrev,location,name,SportsRefName,SportsRefAlt,DonBestName,DonBestAlt,DonBestAlt2
3178,AMU,Ave Maria,Gyrenes,Ave Maria,,Ave Maria,,
3179,POINT,Point University,Point,Point University,,Point University,,
3181,STC,Shepherd Tech,Eagles,Shepherd Tech,,Shepherd Tech,,
3193,AMR,American,American,American,,American,,
3194,NTL,National,National,National,,National,,
3197,NFX,NORTH FLORIDA,STARS,NORTH FLORIDA,,NORTH FLORIDA,,
3198,SFX,SOUTH FLORIDA,STARS,SOUTH FLORIDA,,SOUTH FLORIDA,,
3209,LIND,Lindenwood Belleville,Lynx,Lindenwood Belleville,,Lindenwood Belleville,,
3210,COLE,Cole College,Jaguars,Cole College,,Cole College,,
3211,FAI,College of Faith,Warriors,College of Faith,,College of Faith,,
3212,UMEX,University of Mexico,University of Mexico,University of Mexico,,University of Mexico,,
3214,TRI,Trinity Bible,Lions,Trinity Bible,,Trinity Bible,,
3236,ECC,Erie Community College,Kats,Erie Community College,,Erie Community College,,
3237,HVCC,Hudson Valley CC,Vikings,Hudson Valley CC,,Hudson Valley CC,,
3253,COFC,College of Faith - Charlotte,Saints,College of Faith - Charlotte,,College of Faith - Charlotte,,
3254,UFFL,University of Faith,Glory Eagles,University of Faith,,University of Faith,,
5829,5829,Doane College,Doane,Doane College,,Doane College,,
6353,LAKE,Lakeland College,Lakeland,Lakeland College,,Lakeland College,,
6584,6584,Mcpherson College,Mcpherson,Mcpherson College,,Mcpherson College,,
6845,NWU,Nebraska Wesleyan University,Neb Wesleyan,Nebraska Wesleyan University,,Nebraska Wesleyan University,,
16111,BEN,Benedictine College,Bndctne Col,Benedictine College,,Benedictine College,,
101161,LYON,Lyon College,Scots,Lyon College,,Lyon College,,
102118,LSBG,Louisburg,Hurricanes,Louisburg,,Louisburg,,
102626,TXWE,Texas Wesleyan,Rams,Texas Wesleyan,,Texas Wesleyan,,
108354,HC,Holland College,Hurricanes,Holland College,,Holland College,,
108358,AZCR,Arizona Christian,Firestorm,Arizona Christian,,Arizona Christian,,
108382,COI,College of Idaho,Yotes,College of Idaho,,College of Idaho,,
109418,FINL,Finlandia University,Lions,Finlandia University,,Finlandia University,,
109423,FORK,Fork Union,Blue Devils,Fork Union,,Fork Union,,
109424,CINU,Central International University,Cardinals,Central International University,,Central International University,,
109425,GDCH,University of God&#39;s Chosen,Disciples,University of God&#39;s Chosen,,University of God&#39;s Chosen,,
110242,WFLA,West Florida,Argonauts,West Florida,,West Florida,,
110243,UTPB,University of Texas of the Permian Basin,Falcons,University of Texas of the Permian Basin,,University of Texas of the Permian Basin,,
110254,DU,Davenport,Panthers,Davenport,,Davenport,,
110255,CINCH,Cincinnati Christian,Eagles,Cincinnati Christian,,Cincinnati Christian,,
110263,MORTH,Morthland,Patriots,Morthland,,Morthland,,
110438,DEAN,Dean,Bulldogs,Dean,,Dean,,
