Season,Start,Week,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal
2015,9/12/2015 16:00,0,TRU,2654,WAY,131,0,0,7,0,14,,21,7,10,3,0,,20
2015,9/12/2015 16:00,0,CHA,2128,SHE,2974,0,14,17,7,7,,45,9,6,0,10,,25
2015,9/12/2015 16:00,0,MIT,109,BEC,479,0,10,13,7,7,,37,3,3,17,3,,26
2015,9/12/2015 16:00,0,ORST,204,MICH,130,0,3,14,3,15,,35,7,0,0,0,,7
2015,9/12/2015 16:00,0,M-OH,193,WIS,275,0,13,24,14,7,,58,0,0,0,0,,0
2015,9/12/2015 16:00,0,VAW,2842,NOT,587,0,14,7,7,14,,42,0,0,0,0,,0
2015,9/12/2015 16:00,0,FAI,2986,CON,2148,0,6,7,14,0,,27,0,3,0,7,,10
2015,9/12/2015 16:30,0,GVSU,125,ODM,2477,0,3,14,7,0,,24,0,14,3,10,,27
2015,9/12/2015 16:30,0,WAKE,154,SYR,183,0,3,10,7,10,,30,7,10,0,0,,17
2015,9/12/2015 16:30,0,APP,2026,CLEM,228,0,3,28,7,3,,41,0,0,3,7,,10
2015,9/12/2015 17:00,0,URB,2666,WES,2707,0,0,7,13,3,,23,7,0,9,14,,30
2015,9/12/2015 17:00,0,BGW,18,KEA,2871,0,7,20,7,13,,47,0,7,7,7,,21
2015,9/12/2015 17:00,0,MOO,2817,CON,3066,0,0,7,7,14,,28,7,3,7,13,,30
2015,9/12/2015 17:00,0,PLY,2972,MOU,481,0,6,0,0,0,,6,0,9,0,0,,9
2015,9/12/2015 17:00,0,GUI,2258,MTH,291,0,7,0,0,0,,7,20,21,14,0,,55
2015,9/12/2015 17:00,0,MUH,2422,F&M,2234,0,0,3,0,13,,16,6,3,6,0,,15
