user,item,rating
114|2967,SpreadStation,NA
114|2967,SpreadWag,NA
114|2967,SpreadWestgate,NA
114|40,SpreadMirage,NA
114|40,SpreadPinnacle,NA
114|40,SpreadSBG,NA
114|40,SpreadSIA,NA
114|40,SpreadSportsbet,NA
114|40,SpreadStation,NA
114|40,SpreadWag,NA
114|40,SpreadWestgate,NA
118|2248,SpreadMirage,NA
118|2248,SpreadPinnacle,NA
118|2248,SpreadSBG,NA
118|2248,SpreadSIA,NA
118|2248,SpreadSportsbet,NA
118|2248,SpreadStation,NA
118|2248,SpreadWag,NA
118|2248,SpreadWestgate,NA
118|246,SpreadMirage,NA
118|246,SpreadPinnacle,NA
118|246,SpreadSBG,NA
118|246,SpreadSIA,NA
118|246,SpreadSportsbet,NA
118|246,SpreadStation,NA
118|246,SpreadWag,NA
118|246,SpreadWestgate,NA
118|2516,SpreadMirage,NA
118|2516,SpreadPinnacle,NA
118|2516,SpreadSBG,NA
118|2516,SpreadSIA,NA
118|2516,SpreadSportsbet,NA
118|2516,SpreadStation,NA
118|2516,SpreadWag,NA
118|2516,SpreadWestgate,NA
118|2700,SpreadMirage,NA
118|2700,SpreadPinnacle,NA
118|2700,SpreadSBG,NA
118|2700,SpreadSIA,NA
118|2700,SpreadSportsbet,NA
118|2700,SpreadStation,NA
118|2700,SpreadWag,NA
118|2700,SpreadWestgate,NA
118|2827,SpreadMirage,NA
118|2827,SpreadPinnacle,NA
118|2827,SpreadSBG,NA
118|2827,SpreadSIA,NA
118|2827,SpreadSportsbet,NA
118|2827,SpreadStation,NA
118|2827,SpreadWag,NA
118|2827,SpreadWestgate,NA
118|323,SpreadMirage,NA
118|323,SpreadPinnacle,NA
118|323,SpreadSBG,NA
118|323,SpreadSIA,NA
118|323,SpreadSportsbet,NA
118|323,SpreadStation,NA
118|323,SpreadWag,NA
118|323,SpreadWestgate,NA
119|2115,SpreadMirage,NA
119|2115,SpreadPinnacle,NA
119|2115,SpreadSBG,NA
119|2115,SpreadSIA,NA
119|2115,SpreadSportsbet,NA
119|2115,SpreadStation,NA
119|2115,SpreadWag,NA
119|2115,SpreadWestgate,NA
119|2210,SpreadMirage,NA
119|2210,SpreadPinnacle,NA
119|2210,SpreadSBG,NA
119|2210,SpreadSIA,NA
119|2210,SpreadSportsbet,NA
119|2210,SpreadStation,NA
119|2210,SpreadWag,NA
119|2210,SpreadWestgate,NA
119|2428,SpreadMirage,NA
119|2428,SpreadPinnacle,NA
119|2428,SpreadSBG,NA
119|2428,SpreadSIA,NA
119|2428,SpreadSportsbet,NA
119|2428,SpreadStation,NA
119|2428,SpreadWag,NA
119|2428,SpreadWestgate,NA
119|2619,SpreadMirage,NA
119|2619,SpreadPinnacle,NA
119|2619,SpreadSBG,NA
119|2619,SpreadSIA,NA
119|2619,SpreadSportsbet,NA
119|2619,SpreadStation,NA
119|2619,SpreadWag,NA
119|2619,SpreadWestgate,NA
119|2729,SpreadMirage,NA
119|2729,SpreadPinnacle,NA
119|2729,SpreadSBG,NA
119|2729,SpreadSIA,NA
119|2729,SpreadSportsbet,NA
119|2729,SpreadStation,NA
119|2729,SpreadWag,NA
119|2729,SpreadWestgate,NA
119|311,SpreadMirage,NA
119|311,SpreadPinnacle,NA
119|311,SpreadSBG,NA
119|311,SpreadSIA,NA
119|311,SpreadSportsbet,NA
119|311,SpreadStation,NA
119|311,SpreadWag,NA
119|311,SpreadWestgate,NA
12|2439,SpreadMirage,NA
12|2439,SpreadPinnacle,-20.5
12|2439,SpreadSBG,NA
12|2439,SpreadSIA,-21
12|2439,SpreadSportsbet,-20.5
12|2439,SpreadStation,-21.5
12|2439,SpreadWag,NA
12|2439,SpreadWestgate,-21
12|2440,SpreadMirage,NA
12|2440,SpreadPinnacle,-20
12|2440,SpreadSBG,NA
12|2440,SpreadSIA,-20
12|2440,SpreadSportsbet,-20
12|2440,SpreadStation,NA
12|2440,SpreadWag,NA
12|2440,SpreadWestgate,-20
12|25,SpreadMirage,-7.5
12|25,SpreadPinnacle,-7.5
12|25,SpreadSBG,-7.5
12|25,SpreadSIA,-7
12|25,SpreadSportsbet,-7.5
12|25,SpreadStation,-7.5
12|25,SpreadWag,NA
12|25,SpreadWestgate,-7.5
12|264,SpreadMirage,-8.5
12|264,SpreadPinnacle,-7.5
12|264,SpreadSBG,-8
12|264,SpreadSIA,-8
12|264,SpreadSportsbet,-8
12|264,SpreadStation,-9
12|264,SpreadWag,-7.5
12|264,SpreadWestgate,-9
12|30,SpreadMirage,-1
12|30,SpreadPinnacle,-1.5
12|30,SpreadSBG,-1.5
12|30,SpreadSIA,-1.5
12|30,SpreadSportsbet,-1.5
12|30,SpreadStation,-1.5
12|30,SpreadWag,NA
12|30,SpreadWestgate,-1
12|38,SpreadMirage,-17
12|38,SpreadPinnacle,-18.5
12|38,SpreadSBG,NA
12|38,SpreadSIA,-19
12|38,SpreadSportsbet,-18.5
12|38,SpreadStation,-18
12|38,SpreadWag,NA
12|38,SpreadWestgate,-18.5
12|68,SpreadMirage,NA
12|68,SpreadPinnacle,NA
12|68,SpreadSBG,NA
12|68,SpreadSIA,NA
12|68,SpreadSportsbet,NA
12|68,SpreadStation,NA
12|68,SpreadWag,-2.5
12|68,SpreadWestgate,NA
12|9,SpreadMirage,-2
12|9,SpreadPinnacle,-2
12|9,SpreadSBG,-2
12|9,SpreadSIA,-2
12|9,SpreadSportsbet,-2
12|9,SpreadStation,NA
12|9,SpreadWag,-2
12|9,SpreadWestgate,-1
120|127,SpreadMirage,10.5
120|127,SpreadPinnacle,10.5
120|127,SpreadSBG,10.5
