Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2001-09-01, Houston, 7, 21, 192, 47, 22, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 14, Rice, 354, 69, 42, 12, 6, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 21
2001-09-01, New Mexico St, 169, 34, 63, 16, 8, -999, -999, 6, 0, -999, -999, -999, -999, -999, -999, 7, Texas, 171, 45, 228, 38, 21, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 41
2001-09-01, Nebraska, 330, 60, 127, 16, 9, -999, -999, 3, 1, -999, -999, -999, -999, -999, -999, 42, Troy, -25, 35, 190, 36, 15, -999, -999, 2, 2, -999, -999, -999, -999, -999, -999, 14
2001-09-01, Iowa, 331, 49, 236, 22, 15, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 51, Kent State, 113, 30, 90, 32, 13, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 0
2001-09-01, Colorado, 315, 54, 95, 19, 15, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 41, Colorado State, 108, 29, 186, 40, 18, -999, -999, 0, 4, -999, -999, -999, -999, -999, -999, 14
2001-09-01, Bowling Green, 194, 45, 148, 24, 15, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 20, Missouri, 76, 28, 158, 39, 18, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 13
2001-09-01, North Texas, 106, 34, 23, 12, 3, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 5, TCU, 106, 46, 92, 16, 10, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 19
2001-09-01, Wyoming, 91, 39, 331, 48, 30, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 20, Furman, 180, 33, 169, 25, 12, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 14
2001-09-01, Maryland, 161, 46, 86, 26, 10, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 23, UNC, 118, 37, 158, 26, 16, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 7
2001-09-01, Duke, 32, 36, 194, 30, 13, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 13, FSU, 200, 38, 189, 30, 16, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 55
2001-09-01, Syracuse, 75, 42, 115, 21, 6, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 9, Tennessee, 197, 39, 136, 27, 14, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 33
2001-09-02, Cincinnati, 87, 35, 220, 36, 21, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 14, Purdue, 153, 38, 117, 25, 14, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 19
2001-09-02, Fresno State, 118, 35, 340, 34, 21, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 44, Oregon State, 27, 30, 296, 36, 21, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 24
2001-09-03, Memphis, 86, 46, 76, 17, 10, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 10, Miss St, 179, 41, 174, 22, 12, -999, -999, 3, 1, -999, -999, -999, -999, -999, -999, 30
2001-09-06, Texas A&M, 166, 42, 341, 42, 30, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 28, Wyoming, 102, 32, 171, 26, 11, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 20
2001-09-06, Indiana, 106, 34, 170, 33, 19, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 14, North Carolina St, 118, 35, 243, 34, 22, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 35
2001-09-07, UNLV, 149, 41, 304, 39, 18, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 28, Northwestern, 187, 49, 224, 49, 24, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 37
2001-09-08, Louisville, 176, 32, 218, 25, 14, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 31, W Carolina, 173, 52, 104, 22, 12, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 7
2001-09-08, Florida, 168, 31, 432, 49, 33, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 55, UL Monroe, 27, 21, 78, 26, 11, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 6
2001-09-08, Wake Forest, 205, 56, 178, 19, 12, -999, -999, 3, 0, -999, -999, -999, -999, -999, -999, 20, Appalachian St, 157, 33, 125, 25, 15, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 10
2001-09-08, Michigan, 124, 37, 248, 45, 26, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 18, Washington, 69, 35, 199, 22, 13, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 23
2001-09-08, Colorado State, 130, 28, 151, 16, 8, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 35, Nevada, 128, 32, 101, 27, 12, -999, -999, 1, 3, -999, -999, -999, -999, -999, -999, 18
2001-09-08, Army, 160, 31, 203, 30, 19, -999, -999, 3, 1, -999, -999, -999, -999, -999, -999, 21, Cincinnati, 138, 43, 333, 44, 32, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 24
2001-09-08, Duke, 139, 42, 189, 26, 15, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 13, Rice, 154, 57, 116, 18, 11, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 15
2001-09-08, Kansas, 86, 36, 156, 33, 12, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 17, UCLA, 292, 61, 183, 19, 13, -999, -999, 3, 0, -999, -999, -999, -999, -999, -999, 41
2001-09-08, Miami (FL), 227, 42, 315, 26, 14, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 61, Rutgers, 64, 40, 62, 22, 9, -999, -999, 5, 1, -999, -999, -999, -999, -999, -999, 0
2001-09-08, BYU, 193, 35, 295, 28, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 44, Cal, 120, 36, 291, 38, 23, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 16
2001-09-08, North Texas, 117, 39, 180, 26, 12, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 10, Oklahoma, 190, 29, 353, 42, 29, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 37
2001-09-08, Auburn, 194, 52, 142, 19, 15, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 27, Ole Miss, 50, 23, 265, 39, 24, -999, -999, 3, 1, -999, -999, -999, -999, -999, -999, 21
2001-09-08, Kent State, 212, 44, 145, 26, 10, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 38, Bucknell, 236, 39, 179, 51, 25, -999, -999, 3, 2, -999, -999, -999, -999, -999, -999, 17
2001-09-08, Oregon, 105, 31, 272, 29, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 24, Utah, 121, 35, 252, 51, 25, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 10
2001-09-08, New Mexico, 210, 47, 122, 24, 11, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 30, Texas Tech, 62, 28, 364, 49, 30, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 42
2001-09-08, Bowling Green, 184, 50, 133, 26, 15, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 35, Buffalo, 43, 24, 162, 38, 16, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 0
2001-09-08, Missouri, 238, 51, 103, 26, 13, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 40, S W Texas State, 23, 34, 93, 12, 8, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 6
2001-09-08, UTEP, 305, 51, 122, 28, 10, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 52, Texas Southern, 116, 40, 90, 25, 7, -999, -999, 2, 3, -999, -999, -999, -999, -999, -999, 6
2001-09-08, Clemson, 200, 41, 283, 37, 26, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 38, Wofford, 280, 56, 36, 16, 6, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 14
2001-09-08, Memphis, 245, 43, 198, 29, 20, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 43, Chattanooga, 30, 29, 201, 46, 20, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 10
2001-09-08, UConn, 90, 40, 104, 21, 9, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 17, E Washington, 146, 30, 384, 42, 28, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 35
2001-09-08, UAB, 83, 29, 149, 27, 13, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 7, FSU, 135, 41, 246, 23, 15, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 29
2001-09-08, Air Force, 212, 48, 167, 17, 12, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 42, Tennessee Tech, 62, 35, 206, 27, 15, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 0
2001-09-08, Colorado, 263, 55, 297, 31, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 51, San Jose State, 125, 27, 180, 41, 22, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 15
2001-09-08, Illinois, 102, 37, 241, 34, 17, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 17, N Illinois, 214, 44, 159, 44, 17, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 12
2001-09-08, VT, 271, 58, 156, 26, 14, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 31, W Michigan, 34, 23, 132, 31, 15, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 0
2001-09-08, LA Tech, 29, 25, 286, 54, 29, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 23, Oklahoma State, 165, 48, 137, 22, 11, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 30
2001-09-08, Minnesota, 331, 61, 202, 28, 15, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 44, LA-Lafayette, 30, 26, 126, 35, 18, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 14
2001-09-08, Boise State, 54, 31, 316, 38, 18, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 20, Washington St, 110, 39, 380, 35, 24, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 41
2001-09-08, UCF, 104, 30, 253, 34, 13, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 10, Syracuse, 205, 53, 155, 18, 9, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 21
2001-09-08, Mid Tennessee, 313, 55, 328, 28, 20, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 54, Troy, 61, 27, 268, 42, 25, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 17
2001-09-08, ECU, 319, 45, 220, 22, 11, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 51, Tulane, 137, 39, 292, 53, 29, -999, -999, 2, 2, -999, -999, -999, -999, -999, -999, 24
2001-09-08, UNC, 95, 38, 116, 30, 10, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 14, Texas, 159, 35, 167, 37, 17, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 44
2001-09-08, E Michigan, 24, 29, 100, 30, 15, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 3, Maryland, 280, 52, 196, 25, 16, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 50
2001-09-08, Fresno State, 178, 45, 240, 38, 22, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 32, Wisconsin, 128, 34, 246, 31, 13, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 20
2001-09-08, Arkansas, 19, 26, 73, 16, 8, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 3, Tennessee, 183, 55, 136, 17, 13, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 13
2001-09-08, Iowa, 141, 40, 270, 32, 22, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 44, Miami (OH), 165, 38, 223, 20, 10, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 19
