Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-09-07 20:30:00,0,DUKE,MEM,28,14,25,2,2,37,1,45,173,12,2,2,24,0,33,89
2013,2013-09-07 21:00:00,0,PRST,CAL,30,37,23,1,1,29,1,39,245,31,3,1,51,0,44,131
2013,2013-09-07 22:00:00,0,RICH,NCST,21,23,24,4,2,45,0,25,22,24,3,2,35,2,41,188
2013,2013-09-07 22:00:00,0,JMU,AKR,33,35,26,1,1,43,1,51,188,14,0,0,32,1,25,69
2013,2013-09-07 22:00:00,0,USM,NEB,13,56,16,2,0,37,4,27,62,30,1,1,28,0,46,285
2013,2013-09-07 22:00:00,0,SYR,NW,27,48,29,1,0,45,4,34,133,27,1,0,37,0,44,206
2013,2013-09-07 22:00:00,0,NAVY,IND,41,35,27,0,0,5,0,70,444,25,0,0,43,1,26,118
2013,2013-09-07 22:30:00,0,ULL,KSU,27,48,20,1,0,31,1,40,177,23,0,0,34,2,37,149
2013,2013-09-07 22:30:00,0,WEBB,MRSH,0,55,14,3,3,20,3,44,67,26,0,0,35,1,39,224
2013,2013-09-07 23:00:00,0,SDAK,KU,14,31,15,0,0,18,1,43,219,20,1,1,20,0,50,280
2013,2013-09-07 23:00:00,0,LAM,LT,14,27,21,2,1,37,1,36,90,18,0,0,32,0,38,273
2013,2013-09-07 23:00:00,0,PVAM,TXST,3,28,16,1,1,42,0,25,45,21,2,0,27,0,43,242
2013,2013-09-07 23:00:00,0,SEMO,MISS,13,31,17,2,1,24,1,41,93,25,3,2,32,1,50,272
2013,2013-09-07 23:00:00,0,NICH,WMU,27,23,18,3,2,18,1,40,222,30,0,0,43,2,44,231
2013,2013-09-07 23:00:00,0,TEX,BYU,21,40,23,0,0,44,0,39,132,33,1,1,27,1,72,550
2013,2013-09-07 23:00:00,0,WVU,OKLA,7,16,19,3,3,41,1,24,169,21,3,2,21,2,57,316
2013,2013-09-07 23:00:00,0,GRAM,ULM,10,48,11,2,1,24,0,34,94,26,2,2,30,1,38,367
2013,2013-09-07 23:00:00,0,SFA,TTU,13,61,16,3,1,44,1,32,69,35,3,2,47,2,37,237
