Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
Notre Dame,Syracuse,12.5,73.0,2016,10,1,183,87
SMU,Temple,-13.0,53.5,2016,10,1,218,2567
Old Dominion,Charlotte,8.5,58.5,2016,10,1,2429,295
Mid Tennessee,North Texas,17.0,63.5,2016,10,1,249,2393
FAU,FIU,3.0,53.0,2016,10,1,2229,2226
W Michigan,Cent Michigan,3.0,59.0,2016,10,1,2117,2711
N Illinois,Ball State,-3.5,57.5,2016,10,1,2050,2459
E Michigan,Bowling Green,-2.5,65.5,2016,10,1,189,2199
Ohio,Miami (OH),2.5,51.5,2016,10,1,193,195
UCF,ECU,-3.5,60.5,2016,10,1,151,2116
Miami (FL),Georgia Tech,7.5,53.5,2016,10,1,59,2390
Illinois,Nebraska,-20.5,53.0,2016,10,1,158,356
Wisconsin,Michigan,-11.5,45.0,2016,10,1,130,275
Louisville,Clemson,1.5,65.0,2016,10,1,228,97
UNC,FSU,-10.5,72.5,2016,10,1,52,153
UL Monroe,Auburn,-32.5,56.0,2016,10,1,2,2433
Navy,Air Force,-7.0,49.0,2016,10,1,2005,2426
Rice,Southern Miss,-25.5,59.0,2016,10,1,2572,242
Wyoming,Colorado State,-6.0,53.5,2016,10,1,36,2751
Tennessee,Georgia,4.0,52.5,2016,10,1,61,2633
Georgia State,Appalachian St,-18.5,51.5,2016,10,1,2026,2247
Utah,Cal,1.5,64.5,2016,10,1,25,254
Texas,Oklahoma State,-2.5,68.5,2016,10,1,197,251
Wake Forest,North Carolina St,-13.5,49.0,2016,10,1,152,154
Texas A&M,South Carolina,19.0,50.5,2016,10,1,2579,245
Arizona,UCLA,-11.5,58.5,2016,10,1,26,12
Arizona State,USC,-8.5,65.0,2016,10,1,30,9
Baylor,Iowa State,17.0,61.5,2016,10,1,66,239
Michigan State,Indiana,4.5,52.0,2016,10,1,84,127
Oklahoma,TCU,3.5,66.0,2016,10,1,2628,201
Missouri,LSU,-11.5,52.5,2016,10,1,99,142
San Diego State,South Alabama,19.0,50.5,2016,10,1,6,21
LA-Lafayette,New Mexico St,5.5,67.0,2016,10,1,166,309
Troy,Idaho,14.5,58.0,2016,10,1,70,2653
Utah State,Boise State,-24.0,59.5,2016,10,1,68,328
Oregon,Washington St,2.5,75.0,2016,10,1,265,2483
Fresno State,UNLV,-8.5,56.5,2016,10,1,2439,278
Akron,Kent State,7.5,52.0,2016,10,1,2309,2006
UTEP,LA Tech,-22.5,56.5,2016,10,1,2348,2638
Kentucky,Alabama,-35.5,57.5,2016,10,1,333,96
Florida,Vanderbilt,11.5,40.5,2016,10,1,238,57
Oregon State,Colorado,-18.0,56.0,2016,10,1,38,204
San Jose State,New Mexico,-10.5,52.0,2016,10,1,167,23
Marshall,Pitt,-16.0,57.5,2016,10,1,221,276
Purdue,Maryland,-10.0,56.5,2016,10,1,120,2509
USF,Cincinnati,7.0,66.0,2016,10,1,2132,58
Nevada,Hawaii,3.0,56.5,2016,10,2,62,2440
Ga Southern,Arkansas State,6.5,54.5,2016,10,5,2032,290
Temple,Memphis,-10.0,57.5,2016,10,6,235,218
W Kentucky,LA Tech,2.5,69.0,2016,10,6,2348,98
Tulane,UCF,-13.5,48.5,2016,10,7,2116,2655
Clemson,Boston College,17.5,43.0,2016,10,7,103,228
SMU,Tulsa,-15.5,67.5,2016,10,7,202,2567
Boise State,New Mexico,19.0,62.5,2016,10,7,167,68
UMass,Old Dominion,-11.0,55.0,2016,10,7,295,113
UMass,Old Dominion,-7.0,0.0,2016,10,8,295,113
Charlotte,FAU,-14.0,0.0,2016,10,8,2226,2429
Georgia,South Carolina,7.0,0.0,2016,10,8,2579,61
LSU,Florida,3.0,0.0,2016,10,8,57,99
Kent State,Buffalo,2.5,42.5,2016,10,8,2084,2309
N Illinois,W Michigan,-17.5,67.5,2016,10,8,2711,2459
BYU,Michigan State,-4.0,49.5,2016,10,8,127,252
Georgia Tech,Pitt,-6.5,51.5,2016,10,8,221,59
Maryland,Penn State,1.0,57.0,2016,10,8,213,120
Iowa State,Oklahoma State,-14.0,67.0,2016,10,8,197,66
Cincinnati,UConn,3.0,49.0,2016,10,8,41,2132
TCU,Kansas,28.5,61.5,2016,10,8,2305,2628
Army,Duke,-5.5,43.0,2016,10,8,150,349
Iowa,Minnesota,-2.5,50.5,2016,10,8,135,2294
Indiana,OSU,-28.0,61.5,2016,10,8,194,84
Purdue,Illinois,-8.5,51.0,2016,10,8,356,2509
VT,UNC,2.5,51.0,2016,10,8,153,259
Notre Dame,North Carolina St,-2.0,57.0,2016,10,8,152,87
Bowling Green,Ohio,-11.5,60.0,2016,10,8,195,189
Toledo,E Michigan,19.5,66.0,2016,10,8,2199,2649
Houston,Navy,16.0,51.5,2016,10,8,2426,248
Oklahoma,Texas,13.0,72.0,2016,10,8,251,201
FSU,Miami (FL),-2.0,62.0,2016,10,8,2390,52
Texas State,Georgia State,-10.0,59.5,2016,10,8,2247,326
Ball State,Cent Michigan,-12.5,57.5,2016,10,8,2117,2050
Air Force,Wyoming,12.0,51.0,2016,10,8,2751,2005
Tennessee,Texas A&M,-7.5,57.5,2016,10,8,245,2633
Vanderbilt,Kentucky,-3.5,48.5,2016,10,8,96,238
Auburn,Miss St,3.0,55.0,2016,10,8,344,2
Fresno State,Nevada,-8.5,55.0,2016,10,8,2440,278
Washington,Oregon,10.0,67.5,2016,10,8,2483,264
Michigan,Rutgers,30.0,52.5,2016,10,8,164,130
Marshall,North Texas,13.0,60.0,2016,10,8,249,276
Southern Miss,UTSA,16.5,54.5,2016,10,8,2636,2572
Idaho,UL Monroe,-3.0,57.5,2016,10,8,2433,70
FIU,UTEP,-4.5,49.0,2016,10,8,2638,2229
Alabama,Arkansas,14.5,48.5,2016,10,8,8,333
UNLV,San Diego State,-16.5,53.5,2016,10,8,21,2439
Washington St,Stanford,-7.0,55.0,2016,10,8,24,265
Cal,Oregon State,13.5,71.5,2016,10,8,204,25
Utah State,Colorado State,6.0,52.0,2016,10,8,36,328
Hawaii,San Jose State,-3.0,63.0,2016,10,8,23,62
Syracuse,Wake Forest,-4.5,53.0,2016,10,8,154,183
