User,Item,value
145|2747,SpreadMirage,
147|2803,SpreadMirage,
84|2050,SpreadMirage,-16.5
2075|2304,SpreadMirage,
256|2115,SpreadMirage,
237|2843,SpreadMirage,
128|2025,SpreadMirage,
2830|2060,SpreadMirage,
2486|2094,SpreadMirage,
210|611,SpreadMirage,
2848|2120,SpreadMirage,
36|2636,SpreadMirage,-8.5
2714|2001,SpreadMirage,
23|2502,SpreadMirage,
2119|2805,SpreadMirage,
193|2197,SpreadMirage,
2396|2698,SpreadMirage,
2637|2347,SpreadMirage,
379|173,SpreadMirage,
2657|2013,SpreadMirage,
2460|149,SpreadMirage,
2169|2405,SpreadMirage,
264|70,SpreadMirage,
2400|2010,SpreadMirage,
2315|2385,SpreadMirage,
38|304,SpreadMirage,
2804|2097,SpreadMirage,
276|2415,SpreadMirage,
257|2450,SpreadMirage,
2771|2022,SpreadMirage,
110242|2402,SpreadMirage,
2643|231,SpreadMirage,
2309|2448,SpreadMirage,
388|398,SpreadMirage,
2107|2736,SpreadMirage,
2516|2047,SpreadMirage,
2184|2083,SpreadMirage,
2292|2366,SpreadMirage,
2429|2210,SpreadMirage,
3162|2781,SpreadMirage,
2651|2074,SpreadMirage,
2368|46,SpreadMirage,
2390|2226,SpreadMirage,
490|2336,SpreadMirage,
2717|2241,SpreadMirage,
2362|2800,SpreadMirage,
322|48,SpreadMirage,
119|2598,SpreadMirage,
222|2329,SpreadMirage,
2413|2678,SpreadMirage,
2023|2121,SpreadMirage,
2261|2729,SpreadMirage,
2188|2291,SpreadMirage,
2086|2233,SpreadMirage,
2828|366,SpreadMirage,
2331|2822,SpreadMirage,
2571|2181,SpreadMirage,
251|2638,SpreadMirage,
2348|2569,SpreadMirage,
2938|3,SpreadMirage,
93|2623,SpreadMirage,
2046|2635,SpreadMirage,
2029|2824,SpreadMirage,
2844|568,SpreadMirage,
79|2546,SpreadMirage,
2273|2682,SpreadMirage,
2644|2614,SpreadMirage,
2258|291,SpreadMirage,
199|2888,SpreadMirage,
2335|294,SpreadMirage,
125|437,SpreadMirage,
2748|2018,SpreadMirage,
2568|2823,SpreadMirage,
53|2401,SpreadMirage,
548|2757,SpreadMirage,
2639|2371,SpreadMirage,
2403|137,SpreadMirage,
425|2587,SpreadMirage,
200|2264,SpreadMirage,
2894|2817,SpreadMirage,
129|2886,SpreadMirage,
308|131,SpreadMirage,
2617|2695,SpreadMirage,
160|107,SpreadMirage,
338|3179,SpreadMirage,
56|2683,SpreadMirage,
2191|2271,SpreadMirage,
2649|311,SpreadMirage,
309|2377,SpreadMirage,
2170|2837,SpreadMirage,
2224|2477,SpreadMirage,
2110|2535,SpreadMirage,
2882|2220,SpreadMirage,
2634|2296,SpreadMirage,
249|2065,SpreadMirage,
2711|2428,SpreadMirage,
2572|2542,SpreadMirage,
324|50,SpreadMirage,
2016|2011,SpreadMirage,
201|2433,SpreadMirage,
2628|8,SpreadMirage,-10.5
2000|2458,SpreadMirage,
6|290,SpreadMirage,13.5
2028|2927,SpreadMirage,
2364|132,SpreadMirage,
344|2579,SpreadMirage,-7.5
2743|2790,SpreadMirage,
2242|2062,SpreadMirage,
58|2459,SpreadMirage,-14.0
134|2851,SpreadMirage,
13|301,SpreadMirage,
356|153,SpreadMirage,7.0
2|2032,SpreadMirage,
99|55,SpreadMirage,
254|252,SpreadMirage,-3.0
142|2199,SpreadMirage,
2294|66,SpreadMirage,-15.0
2570|2704,SpreadMirage,
166|167,SpreadMirage,11.5
253|2545,SpreadMirage,
509|583,SpreadMirage,
2633|259,SpreadMirage,-11.0
26|2439,SpreadMirage,
2655|2582,SpreadMirage,
3101|613,SpreadMirage,
2658|2829,SpreadMirage,
2277|2640,SpreadMirage,
162|2359,SpreadMirage,
2194|2904,SpreadMirage,
2155|2141,SpreadMirage,
2627|2586,SpreadMirage,
110243|108358,SpreadMirage,
2588|241,SpreadMirage,
205|49,SpreadMirage,
302|2584,SpreadMirage,
2278|2049,SpreadMirage,
2201|2703,SpreadMirage,
2930|108382,SpreadMirage,
278|16,SpreadMirage,
2923|2519,SpreadMirage,
9|2641,SpreadMirage,2.5
2475|2508,SpreadMirage,
68|265,SpreadMirage,-13.0
21|25,SpreadMirage,-6.0
2483|258,SpreadMirage,
12|2755,SpreadMirage,
62|2630,SpreadMirage,
2699|2986,SpreadMirage,
2016|2029,SpreadMirage,
2132|248,SpreadMirage,7.5
2827|2970,SpreadMirage,
2038|2583,SpreadMirage,
2951|2383,SpreadMirage,
2221|2725,SpreadMirage,
2060|2771,SpreadMirage,
114|2967,SpreadMirage,
108|227,SpreadMirage,
2871|2442,SpreadMirage,
242|239,SpreadMirage,
328|2032,SpreadMirage,-9.5
2636|9,SpreadMirage,
3178|548,SpreadMirage,
2205|223,SpreadMirage,
2646|2686,SpreadMirage,
213|218,SpreadMirage,-8.0
275|2247,SpreadMirage,
2184|2168,SpreadMirage,
2682|129,SpreadMirage,
237|2702,SpreadMirage,
2148|2666,SpreadMirage,
235|2305,SpreadMirage,
2628|66,SpreadMirage,
2026|2390,SpreadMirage,4.0
2477|2392,SpreadMirage,
2085|365,SpreadMirage,
164|167,SpreadMirage,-7.5
276|2006,SpreadMirage,-17.5
228|2569,SpreadMirage,
293|2776,SpreadMirage,
2619|257,SpreadMirage,
109|2528,SpreadMirage,
81|481,SpreadMirage,
367|2071,SpreadMirage,
2633|195,SpreadMirage,
452|2779,SpreadMirage,
97|52,SpreadMirage,-1.5
2385|2188,SpreadMirage,
110254|2316,SpreadMirage,
118|323,SpreadMirage,
2843|2972,SpreadMirage,
209|215,SpreadMirage,
189|2393,SpreadMirage,6.5
2294|2449,SpreadMirage,
2974|2842,SpreadMirage,
2022|2487,SpreadMirage,
479|2884,SpreadMirage,
2532|2818,SpreadMirage,
59|238,SpreadMirage,-6.5
402|18,SpreadMirage,
171|2598,SpreadMirage,
319|199,SpreadMirage,
2274|352,SpreadMirage,
2886|2222,SpreadMirage,
2129|2291,SpreadMirage,
110|274,SpreadMirage,
2858|210,SpreadMirage,
2441|2830,SpreadMirage,
375|101,SpreadMirage,
398|2969,SpreadMirage,
366|297,SpreadMirage,
2559|2134,SpreadMirage,
379|2909,SpreadMirage,
2644|2062,SpreadMirage,
2102|2845,SpreadMirage,
2249|2128,SpreadMirage,
3162|184,SpreadMirage,
2015|2354,SpreadMirage,
2828|286,SpreadMirage,
2911|2601,SpreadMirage,
241|2637,SpreadMirage,
2045|2850,SpreadMirage,
247|2808,SpreadMirage,
2707|455,SpreadMirage,
2175|216,SpreadMirage,
3111|2079,SpreadMirage,
2516|291,SpreadMirage,
2803|225,SpreadMirage,
2913|351,SpreadMirage,
471|388,SpreadMirage,
2614|2242,SpreadMirage,
89|2018,SpreadMirage,
2551|2882,SpreadMirage,
2782|374,SpreadMirage,
2248|246,SpreadMirage,
40|15,SpreadMirage,
2234|2667,SpreadMirage,
2256|417,SpreadMirage,
109418|271,SpreadMirage,
2193|2717,SpreadMirage,
2557|2108,SpreadMirage,
2310|330,SpreadMirage,
41|258,SpreadMirage,-3.5
2189|2023,SpreadMirage,
2074|2419,SpreadMirage,
190|2233,SpreadMirage,
2119|490,SpreadMirage,
43|2142,SpreadMirage,
426|317,SpreadMirage,
2107|2105,SpreadMirage,
2373|2213,SpreadMirage,
2141|263,SpreadMirage,
2600|133,SpreadMirage,
2043|2772,SpreadMirage,
409|2800,SpreadMirage,
273|433,SpreadMirage,
2151|2812,SpreadMirage,
265|70,SpreadMirage,
2964|63,SpreadMirage,
2703|2824,SpreadMirage,
2700|2422,SpreadMirage,
49|2564,SpreadMirage,
72|75,SpreadMirage,
2286|2359,SpreadMirage,
80|2398,SpreadMirage,
2155|262,SpreadMirage,
6353|2790,SpreadMirage,
6845|2685,SpreadMirage,
2146|11,SpreadMirage,
3214|421,SpreadMirage,
2318|2721,SpreadMirage,
2553|3,SpreadMirage,
2741|354,SpreadMirage,
2181|2816,SpreadMirage,
65|266,SpreadMirage,
2748|83,SpreadMirage,
2044|2651,SpreadMirage,
2851|425,SpreadMirage,
255|2832,SpreadMirage,
143|2121,SpreadMirage,
2968|124,SpreadMirage,
2698|2170,SpreadMirage,
446|509,SpreadMirage,
2467|2749,SpreadMirage,
55|324,SpreadMirage,
561|2744,SpreadMirage,
202|2448,SpreadMirage,
2919|2891,SpreadMirage,
2587|559,SpreadMirage,
2519|2757,SpreadMirage,
173|2781,SpreadMirage,
2938|2056,SpreadMirage,
2123|2714,SpreadMirage,
2674|2907,SpreadMirage,
2802|2152,SpreadMirage,
2106|396,SpreadMirage,
2257|2295,SpreadMirage,
556|587,SpreadMirage,
2524|126,SpreadMirage,
2069|3101,SpreadMirage,
2900|2101,SpreadMirage,
138|2438,SpreadMirage,
2262|86,SpreadMirage,
2306|2226,SpreadMirage,
2838|2273,SpreadMirage,
2817|389,SpreadMirage,
2271|2823,SpreadMirage,
611|2315,SpreadMirage,
2333|2923,SpreadMirage,
2115|2075,SpreadMirage,
2649|278,SpreadMirage,
2094|2930,SpreadMirage,
2050|2198,SpreadMirage,
2876|2825,SpreadMirage,
630|2758,SpreadMirage,
2117|2439,SpreadMirage,-12.0
2324|2323,SpreadMirage,
2287|2197,SpreadMirage,
2747|2304,SpreadMirage,
2630|487,SpreadMirage,
2214|2403,SpreadMirage,
2001|2237,SpreadMirage,
2201|2837,SpreadMirage,
183|58,SpreadMirage,12.5
197|221,SpreadMirage,-2.5
130|38,SpreadMirage,
153|256,SpreadMirage,
193|98,SpreadMirage,
158|2483,SpreadMirage,-3.0
222|119,SpreadMirage,
47|2261,SpreadMirage,
2309|2405,SpreadMirage,
145|333,SpreadMirage,10.5
2459|21,SpreadMirage,13.0
259|103,SpreadMirage,-6.0
113|2229,SpreadMirage,1.0
2751|302,SpreadMirage,
2579|151,SpreadMirage,-2.5
2120|2049,SpreadMirage,
568|2894,SpreadMirage,
356|2711,SpreadMirage,3.0
2207|60,SpreadMirage,
2594|2364,SpreadMirage,
147|2848,SpreadMirage,
36|2458,SpreadMirage,
96|166,SpreadMirage,
2065|2634,SpreadMirage,
2382|2635,SpreadMirage,
2447|2916,SpreadMirage,
2283|2003,SpreadMirage,
2754|2523,SpreadMirage,
219|2329,SpreadMirage,
204|304,SpreadMirage,
2529|2368,SpreadMirage,
155|233,SpreadMirage,
2688|17,SpreadMirage,
163|322,SpreadMirage,
3112|2846,SpreadMirage,
290|2433,SpreadMirage,
2428|395,SpreadMirage,
391|2171,SpreadMirage,
2210|2220,SpreadMirage,
2413|2339,SpreadMirage,
2736|2676,SpreadMirage,
2729|2450,SpreadMirage,
152|295,SpreadMirage,
2232|2805,SpreadMirage,
284|2089,SpreadMirage,
2047|2258,SpreadMirage,
2097|2506,SpreadMirage,
131|437,SpreadMirage,
2083|172,SpreadMirage,
2429|2199,SpreadMirage,1.5
2804|110242,SpreadMirage,
2241|2643,SpreadMirage,
154|48,SpreadMirage,
2641|2348,SpreadMirage,-11.0
386|2486,SpreadMirage,
341|2896,SpreadMirage,
308|2224,SpreadMirage,
2582|2011,SpreadMirage,
79|93,SpreadMirage,
620|2086,SpreadMirage,
2567|2335,SpreadMirage,
132|2844,SpreadMirage,
399|107,SpreadMirage,
306|3071,SpreadMirage,
200|2191,SpreadMirage,
2655|2426,SpreadMirage,6.5
2904|2810,SpreadMirage,
3066|134,SpreadMirage,
2033|2028,SpreadMirage,
231|236,SpreadMirage,
2546|282,SpreadMirage,
2116|120,SpreadMirage,11.0
125|128,SpreadMirage,
2331|2839,SpreadMirage,
2834|108358,SpreadMirage,
2110|2466,SpreadMirage,
2586|2292,SpreadMirage,
2042|32,SpreadMirage,
267|2013,SpreadMirage,
2464|2424,SpreadMirage,
2733|359,SpreadMirage,
2010|2504,SpreadMirage,
174|175,SpreadMirage,
2264|2568,SpreadMirage,
191|427,SpreadMirage,
2377|2617,SpreadMirage,
137|2118,SpreadMirage,
294|2206,SpreadMirage,
50|2657,SpreadMirage,
159|160,SpreadMirage,
2980|2746,SpreadMirage,
2|245,SpreadMirage,-1.5
2347|2639,SpreadMirage,
332|424,SpreadMirage,
2166|2940,SpreadMirage,
3110|390,SpreadMirage,
2302|188,SpreadMirage,
309|6,SpreadMirage,-1.5
2571|13,SpreadMirage,
2296|2755,SpreadMirage,
2336|2369,SpreadMirage,
2687|2815,SpreadMirage,
99|344,SpreadMirage,-13.5
2822|2444,SpreadMirage,
2572|2653,SpreadMirage,-9.5
2560|53,SpreadMirage,
146|2963,SpreadMirage,
2371|203,SpreadMirage,
2638|349,SpreadMirage,3.0
2453|2673,SpreadMirage,
331|2460,SpreadMirage,
57|249,SpreadMirage,
142|61,SpreadMirage,7.0
87|127,SpreadMirage,-7.5
201|194,SpreadMirage,2.0
8|326,SpreadMirage,
2658|2395,SpreadMirage,
2277|2000,SpreadMirage,
2231|2122,SpreadMirage,
90|196,SpreadMirage,
2627|2025,SpreadMirage,
77|150,SpreadMirage,-4.0
583|2399,SpreadMirage,
24|30,SpreadMirage,-7.0
2194|2588,SpreadMirage,
2692|16,SpreadMirage,
2320|2534,SpreadMirage,
2402|2654,SpreadMirage,
2640|2400,SpreadMirage,
2570|613,SpreadMirage,
264|2502,SpreadMirage,
2401|2695,SpreadMirage,
2888|2927,SpreadMirage,
2440|2084,SpreadMirage,-11.5
2829|2278,SpreadMirage,
29|415,SpreadMirage,
252|26,SpreadMirage,3.5
25|251,SpreadMirage,7.0
23|254,SpreadMirage,13.0
12|62,SpreadMirage,
205|2475,SpreadMirage,
110243|2704,SpreadMirage,
2128|2707,SpreadMirage,
2017|2986,SpreadMirage,
59|228,SpreadMirage,11.0
2583|2022,SpreadMirage,
18|114,SpreadMirage,
2199|2751,SpreadMirage,6.0
2567|2628,SpreadMirage,
254|30,SpreadMirage,-3.0
